"TIPOLOGIA STRUTTURA,""TIPO_ESERCIZIO"",""CLASSIFICAZIONE"",""DENOMINAZIONE"",""CAP"",""INDIRIZZO"",""TELEFONO"",""CAMERE"",""BAGNI"",""LETTI"",""SCIA/AUT."",""DATA"",""N. PROT"",""Durata"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B IL FARO di ALESSANDRONI Anna"",""00053"",""VIA O. BRANCATO, 6"",""0766/23137"",""3"",""2"",""5"",""AUTORIZ."",""03/12/2009"",""46/2009 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B CORTE DEGLI ULIVI di ZAMBELLI M.Assunta"",""00053"",""VIA TERME DI TRAIANO, 88"",""0766/21279"",""3"",""2"",""5"",""AUTORIZ."",""12/10/2009"",""35 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B VILLA CHIARA DI FOSCHI ENZO"",""00053"",""VIA SAN GORDIANO, 68"",""335/5844156"",""3"","""",""4"",""SCIA"",""17/02/2014"","""",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B VILLA SUSANNA di SANSOLINI Francesca"",""00053"",""VIA G. BRUZZESI, 3/A"",""3382655318"",""3"",""1"",""6"",""SCIA"",""22/03/2013"",""17081"",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B PIAZZA FRATTI di CATALDI Augusto"",""00053"",""P.ZA FRATTI, 18"",""0766/32803"",""2"",""1"",""4"",""SCIA"",""24/01/2013"",""4703"",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B CENTRALE A DUE PASSI DAL PORTO di DE FAZI Pietro"",""00053"",""VIA GRANARI, 17"",""329/6167258"",""1"",""1"",""2"",""SCIA"",""23/01/2013"",""4311"",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B SAN LIBORIO di CAPPELLANI Rosalia"",""00053"",""VIA SAN LIBORIO, 2"",""0766/502334"",""3"",""1"",""6"",""SCIA"",""19/07/2012"",""41523"",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B I TRE LEONI di GAGGIOLI Ignazio"",""00053"",""VIA DELLE GINESTRE,1"",""0766/502919"",""2"",""1"",""4"",""SCIA"",""13/03/2012"",""14646"",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B BEL SOLE di BORTUN Irina"",""53"",""VIA RODI, 20"",""0766/547131"",""1"",""1"",""2"",""AUTORIZ."",""05/05/2011"",""13 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B NEI PRESSI DEL PORTO FERRI DANIELA"",""00053"",""VIA DEI BASTIONI 15"",""3296167258"",""2"",""1"",""4"",""SCIA"",""17/01/2014"",""02/2014 R.B."",""Permanente"""
